"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"462","Dare Ogunbowale","RB","HOU","-","-","-","-","-","-","-","-","-","BYE","0","0","-","-","-","-","-","0","0"
"462","Godwin Igwebuike","RB","FA","-","-","-","-","-","-","-","-","-","-","0","-","0","0","0","0","0","0","0"
"462","Taiwan Jones","RB","FA","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","0","0"
"462","Chris Lacy","WR","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0"
"462","Brandon Allen","QB","SF","0","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","0","0"
"462","Daurice Fountain","WR","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","-","0","0"
"462","Tyler Bray","QB","FA","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","0","0"
"462","Boston Scott","RB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0"
"462","Brandon Wilson","S","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","0","0"
"462","Senorise Perry","RB","FA","0","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0"
"462","Trey Edmunds","RB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0"
"462","Isaiah Ford","WR","FA","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","0","0"
"462","Temarrick Hemingway","TE","FA","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0"
"462","Steven Mitchell Jr.","WR","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0"
"462","Cam Sims","WR","FA","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"462","Pharoh Cooper","WR","FA","0","-","-","-","-","-","-","-","-","-","0","-","0","0","0","0","0","0","0"
"462","Jaydon Mickens","WR","FA","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","0","0"
"462","Cooper Rush","QB","DAL","-","-","-","-","-","0","-","BYE","-","-","-","-","-","-","-","-","-","0","0"
"462","Deante Burton","WR","FA","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0"
"462","Buddy Howell","RB","FA","-","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0"
"462","Daniel Brown","TE","FA","-","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","-","0","0"
"462","Kyle Sloter","QB","FA","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"462","Mike Thomas","WR","FA","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"462","Darrell Daniels","TE","FA","0","0","0","-","0","0","-","0","0","0","0","-","0","-","-","-","0","0","0"
"462","Lance Lenoir Jr.","WR","FA","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","-","0","0"
"462","Patrick Ricard","RB","BAL","0","0","0","0","0","-","0","0","0","BYE","0","0","-","-","-","-","-","0","0"
"462","Clark Harris","TE","FA","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0"
"462","Kyle Nelson","TE","FA","0","0","0","0","0","0","0","0","0","0","-","0","0","-","-","-","-","0","0"
"462","Beau Brinkley","TE","FA","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0"
"462","Alex Ellis","TE","FA","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"462","Mason Schreck","TE","FA","0","0","0","-","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0"
"462","Deon Yelder","TE","FA","-","-","-","-","-","-","-","0","0","0","-","-","-","-","-","-","-","0","0"
"462","Matthew Slater","WR","FA","0","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0"
"496","Chad Kelly","QB","FA","-","-","-","-","-","-0.1","-","-","-","-","-","-","-","-","-","-","-","-0.1","-0.1"
"497","Brian Hoyer","QB","FA","-","-","-","-0.3","-","-","-","-0.2","-","0.5","-","-","-","-","-","-0.2","-0.3","-0.1","-0.5"
"498","Jacoby Brissett","QB","NE","-","-","0","-","-","-","-0.4","-","-","-","-0.4","0.2","-","-","-","-","-","-0.2","-0.6"
"499","Geno Smith","QB","SEA","-","-0.1","-","-","-","0.1","BYE","-","-","-","-","0.7","0","-","-","-","-2.2","-0.3","-1.5"
"500","JoJo Natson","WR","FA","-","0","0","-","-","0","0","0","0","0","0","-","0","0","-2","0","0","-0.2","-2"
"501","Kyle Lauletta","QB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-2.2","-","-","0","-1.1","-2.2"
""
""
