"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"1","Aaron Rodgers","QB","NYJ","23.6","17.4","26.4","-","15.9","12.5","23.7","33.8","26.2","27.5","29.3","23.1","16","21.2","12","37.2","34.2","23.8","380"
"2","Matt Ryan","QB","FA","24.4","27.8","19.9","35.5","15","21.6","13.7","24.4","27.8","12.7","-","18.3","16.2","21.5","19.3","20","29.4","21.7","347.5"
"3","Drew Brees","QB","FA","31.4","14.5","25.9","11.9","-","32.6","24.7","20.7","24.7","21","15.4","32.5","7","4.5","29.4","16.1","20","20.8","332.3"
"4","David Johnson","RB","FA","19.2","14.3","23.1","10.4","30.5","31.8","17.1","10.8","-","22.1","28","22.1","29.5","12.1","22.8","29.6","4.4","20.5","327.8"
"5","Kirk Cousins","QB","ATL","10","18.6","19.3","17.3","12.3","17.3","21.5","24.2","-","18.4","27.4","30.2","16.8","16","9.7","29.8","11.5","18.8","300.3"
"6","Ezekiel Elliott","RB","FA","11.2","12.7","16","21.7","29.1","17.4","-","14.8","21.7","38.9","12.7","24","16.5","10.7","24.8","21.2","-","19.6","293.4"
"7","Dak Prescott","QB","DAL","10.3","18.3","23.5","18.1","17.5","18.5","BYE","27.3","23.9","18.8","25.6","21.7","11.3","6.7","19.2","24","2.4","17.9","286.9"
"8","Matthew Stafford","QB","LAR","26.1","15.5","26.5","8.2","18.8","28.2","17.8","13.6","14.8","-","11.1","16.3","23.8","16.4","10.2","12.5","19.9","17.5","279.8"
"9","Tyrod Taylor","QB","NYJ","5.5","24.4","16.4","16.6","15.8","20","24.3","18.1","25.9","-","8.5","20.4","12.6","15.3","15.9","31.2","-","18.1","270.9"
"10","Blake Bortles","QB","FA","15","18.6","11.5","25.9","-","10.9","13.1","29.7","21.5","17.7","12.4","21.1","10.1","15.6","7.2","25.7","14.1","16.9","270.1"
"11","Derek Carr","QB","NO","22.4","25","11.9","23.8","22","9.8","12.4","35.8","7.7","-","21.6","17.4","20.8","5","11","22.1","-","17.9","268.5"
"12","Russell Wilson","QB","PIT","11.9","11.6","14","23.9","-","11.5","8.7","9.2","26.3","26.5","24.3","10","16","5.5","20.4","33.6","14.7","16.8","268.1"
"13","Andy Dalton","QB","CAR","17.3","19.3","10.2","14.6","22.2","21.9","20.3","19.5","-","11.7","15.3","12.7","22.2","16.9","10.4","12.7","13.4","16.3","260.6"
"14","Marcus Mariota","QB","WAS","16.7","16.6","4.8","8.1","30.5","27.8","16.7","19.9","25.9","27.8","22.5","21.6","-","7.3","5.4","8.3","-","17.3","259.9"
"15","Philip Rivers","QB","FA","14.6","23.8","11.2","18.8","26.4","11.1","14.6","12.7","18.7","17","-","19.7","14.8","7.4","14.2","18.9","14.9","16.2","258.9"
"16","Tom Brady","QB","FA","-","-","-","-","29.6","27.2","18.2","30.1","-","11.3","28.4","19","14.9","26.1","7.4","20.6","25.6","21.5","258.6"
"17","Jameis Winston","QB","CLE","25.5","4.6","25.5","11.1","15.4","-","20.7","18.8","21.5","18.5","17.4","16","15.3","9","10.5","16.5","9.9","16","256.1"
"18","Cam Newton","QB","FA","21.2","29.8","13.1","15.6","-","27","-","12.8","14.6","23.8","12.4","20.4","12.5","11.5","20","11.5","8.1","17","254.3"
"19","Ben Roethlisberger","QB","FA","21.8","19.8","7","33.9","29.2","9.6","-","-","18.9","28.4","8.7","20.8","17.6","2.6","14.9","19.1","-","18","252.2"
"20","LeSean McCoy","RB","FA","13","9","23.6","16.8","15.8","32.2","1.1","-","12","-","10.5","27.4","19.1","16.8","28.9","20.5","1.6","16.6","248.3"
"21","Joe Flacco","QB","IND","12","16.2","11.8","22","13","12.3","6","-","14.8","22.1","15.4","13.3","29.2","19.1","12.1","14.5","8.7","15.2","242.5"
"22","Le'Veon Bell","RB","FA","-","-","-","17.8","15.4","12.8","14.9","-","7","25.4","26.1","20.2","16.2","47.8","13.1","25.7","-","20.2","242.4"
"23","Devonta Freeman","RB","FA","4","9.3","26.7","12.4","18.3","5","10","17.8","10.5","8.1","-","19.7","22.5","1.8","31.5","8.8","23.7","14.4","230.1"
"24","Alex Smith","QB","FA","28","3.6","13.2","17.7","-","8.9","17.3","10","-","8.4","19.4","15","12.5","11.2","11.6","22.4","24.7","14.9","223.8"
"25","Carson Wentz","QB","KC","19.2","12.6","21","-","16.9","7.4","6.1","11.8","10.2","8.2","14.9","17.5","12.6","13.1","11.6","10.8","19.1","13.3","213"
"26","Melvin Gordon III","RB","FA","17.7","18","13.8","17.9","12.7","9.4","30.1","15.5","32.1","13.2","-","8.9","19.8","0.5","-","-","-","16.1","209.6"
"27","Mike Evans","WR","TB","15.9","13","19.2","5.9","14.9","BYE","21.6","7","27","6.6","10.5","22.4","5.8","4.2","5.9","15.7","12.5","13","208.1"
"28","Antonio Brown","WR","FA","24.6","3.9","14","18.4","13.8","4.5","11.9","-","14.5","20.4","7.6","27.1","11.4","7.8","5.8","15.6","-","13.4","201.3"
"29","Jordan Howard","RB","FA","-","3.1","9.2","13.2","22.3","10","2.2","26.2","-","8","9.9","12.7","29.7","11","17.3","12.8","13.5","13.4","201.1"
"30","Mark Ingram II","RB","FA","8.7","4.7","18.7","16.5","-","6","12.2","-1.5","29.1","6.3","7.5","28.7","5.3","2.3","9.2","23.3","19.2","12.3","196.2"
"31","Odell Beckham Jr.","WR","FA","7.3","8.6","12.1","2.3","11.6","32.2","4.9","-","16.6","15.7","4.6","21.6","10","15.4","13.3","15","4.4","12.2","195.6"
